Date,Open,High,Low,Close,Volume
2024-01-01,149.0813434109608,151.3545015133595,149.16771914208914,150.49671415301123,8251298
2024-01-02,149.9378045290747,151.41923437820827,149.29826881164308,150.35844985184005,9465150
2024-01-03,150.66342387341396,152.589189633116,151.253431995064,151.00613838994073,5000404
2024-01-04,151.72689097712717,154.08297029838369,152.63953851178223,152.52916824634877,9897590
2024-01-05,152.13372915995942,151.41734550366834,151.7741132776613,152.29501487162543,6323483
2024-01-06,152.46492877149078,151.62305287476113,151.67820529798502,152.06087791467624,6722320
2024-01-07,155.52627663139415,154.6551259973923,154.41775562597206,153.64009073018363,9909764
2024-01-08,154.58210327216838,155.42131141024876,153.3159540705007,154.40752545933654,7332517
2024-01-09,154.19560146412437,154.95309875970764,153.98514845457163,153.9380510734016,9537090
2024-01-10,154.4061652012214,158.8333426076423,153.77841846455368,154.48061111698757,8196340
2024-01-11,152.09842220887606,155.08808393486828,153.2995122209479,154.0171934241751,5163273
2024-01-12,153.52494979515564,155.18702931078545,154.15024052259204,153.55146367060485,8854418
2024-01-13,153.8536561521119,155.24742770566408,154.1188422911589,153.79342594217087,8652692
2024-01-14,154.34338780999838,153.03153694881888,152.19365533351373,151.8801456975131,6087341
2024-01-15,149.96286690021893,150.3399586203597,150.96070667215437,150.15522786500006,8977266
2024-01-16,149.89448767809267,150.85190955625234,149.11394417739183,149.59294033575907,8031756
2024-01-17,148.5453974457194,148.30728400088708,148.76206218671962,148.58010921542464,5843523
2024-01-18,147.72567851040037,149.1575379412799,148.08408979142646,148.8943565480199,5546237
2024-01-19,149.12915528701373,148.0009689246696,147.81049882498715,147.9863324724987,9895207
2024-01-20,147.3259618038502,147.15590291054974,145.94388571679573,146.57402877116343,9040479
2024-01-21,148.83070948712802,150.85433610675847,147.63667350507768,148.03967754008497,5092193
2024-01-22,146.9045137848037,146.44663604700668,147.90905826503536,147.81390123959844,8181915
2024-01-23,149.28422375522246,149.0676896346609,146.5632087610529,147.88142944428637,9700254
2024-01-24,145.05483019528063,145.34396538688324,148.04906853375837,146.4566812580729,6186887
2024-01-25,146.499155627348,145.9403666677583,144.40628115204802,145.91229853354773,8008038
2024-01-26,148.2136767490676,147.61217172022498,144.30903251046988,146.0232211232576,5508153
2024-01-27,143.88169122070462,145.43650756493076,145.53033841933538,144.8722275458353,8334817
2024-01-28,144.68162783457817,144.67018078625165,145.53958825814388,145.24792556418095,8582069
2024-01-29,144.74693823934982,144.4319831650022,144.77140669131433,144.64728687426216,7715514
2024-01-30,143.85211747035268,145.53519087340354,144.48393863373315,144.35559312446887,9881713
2024-01-31,142.20322308117335,143.52351988052234,143.24163973939258,143.7538865122395,7658571
2024-02-01,145.67472767155442,146.32262328633038,144.20891032526256,145.6061646967484,9834357
